2021-08-02 16:52:25 INFO     [40]HTML2mdCLI.py: Started
2021-08-02 16:52:25 DEBUG    [50]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/index.html
2021-08-02 16:52:25 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://ko-fi.com/fiquipedia
2021-08-02 16:52:26 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://algoquedaquedecir.blogspot.com.es/
2021-08-02 16:52:27 DEBUG    [54]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/.DS_Store
2021-08-02 16:52:27 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/licenciamiento
2021-08-02 16:52:27 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://web.archive.org/web/20120827030522/www.juntadeandalucia.es/averroes/mochiladigital/legales.html
2021-08-02 16:52:29 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.xarxatic.com/infografia-sobre-las-licencias-creative-commons/
2021-08-02 16:52:32 WARNING  [149]URLUtils.py: Error reading URL: http://www.xarxatic.com/infografia-sobre-las-licencias-creative-commons/ : Not Found
2021-08-02 16:52:32 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://algoquedaquedecir.blogspot.com/2018/04/compartid-malditos.html
2021-08-02 16:52:32 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://algoquedaquedecir.blogspot.com/2020/10/fiquipedia-pasado-presente-y-futuro.html
2021-08-02 16:52:33 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/referencias-a-fiquipedia
2021-08-02 16:52:33 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://formacionprofesorado.educacion.es/version/v2/index.php/es/experiencias/278-creacion-reutilizacion-y-difusion-de-contenidos
